"function HelpWindow(page) { window.open(page,"","HEIGHT=225,WIDTH=300") }""unction HelpWindow(page) { ",,,,,,,,
Jurisdiction,Facility,Year,Month,Unsentenced males,Unsentenced females,Sentenced males,Sentenced females,Total facility ADP
Alameda Sheriff's Dept.,Glen Dyer Jail,1995,10,539,1,143,0,683
Alameda Sheriff's Dept.,Santa Rita Jail,1995,10,1983,197,887,166,3233
Amador Sheriff's Dept.,Amador County Jail,1995,10,15.33,1.59,21.7,4.85,43.47
Butte Sheriff's Dept.,Butte County Jail,1995,10,225,39,158,15,437
Calaveras Sheriff's Dept.,Calaveras County Jail,1995,10,20.8,0.4,29.6,3.9,54.7
Colusa Sheriff's Dept.,Colusa County Jail,1995,10,26,1,31,1,59
Contra Costa Sheriff's Dept.,Marsh Creek Detention Facility,1995,10,0,0,230,0,230
Contra Costa Sheriff's Dept.,Martinez Detention Facility,1995,10,647,0,0,0,647
Contra Costa Sheriff's Dept.,West County Detention Facility ,1995,10,597,0,0,0,597
Del Norte Sheriff's Dept.,Del Norte County Jail,1995,10,65.83,7.22,0,0,73.05
El Dorado Sheriff's Dept.,El Dorado County Jail,1995,10,56,13,112,12,193
El Dorado Sheriff's Dept.,South Lake Tahoe Jail,1995,10,45,6,40,8,99
Fresno Sheriff's Dept.,Fresno County Main Jail,1995,10,632,155,100,72,959
Fresno Sheriff's Dept.,Fresno County Satellite Jail,1995,10,0,0,116,0,116
Fresno Sheriff's Dept.,Fresno North Annex Jail,1995,10,389,0,9,0,398
Fresno Sheriff's Dept.,Fresno South Annex Jail,1995,10,402,0,206,0,608
Glenn Sheriff's Dept.,Glenn Co Adult Detention Fac,1995,10,43,4,32,5,84
Humboldt Sheriff's Dept.,Humboldt Co. Corr. Facility,1995,10,148,22,15,13,198
Imperial Sheriff's Dept.,Herbert Hughes Corr. Center,1995,10,155,0,217,0,372
Imperial Sheriff's Dept.,Imperial Adult Regional Fac.,1995,10,150,20,80,15,265
Inyo Sheriff's Dept.,Inyo County Jail,1995,10,19.1,4.7,26,0.8,50.6
Kern Sheriff's Dept.,Kern County- Female Minimum ,1995,10,0,0,0,95,95
Kern Sheriff's Dept.,Lerdo Maximum/Medium,1995,10,0,0,0,0,0
Kern Sheriff's Dept.,Lerdo Minimum,1995,10,351,0,526,0,877
Kern Sheriff's Dept.,Lerdo Pre-Trial Facility,1995,10,750,168,132,42,1092
Kings Sheriff's Dept.,Kings County Branch Jail ,1995,10,16,4,100,17,137
Kings Sheriff's Dept.,Kings County Main Jail,1995,10,110,10,42,6,168
Lake Sheriff's Dept.,Lake County Facility,1995,10,32,16,20,4,72
Lake Sheriff's Dept.,Lake County Hill Road Facility ,1995,10,32,0,69,0,101
Lassen Sheriff's Dept.,Lassen Adult Detention Facility,1995,10,45,6,43,14,108
Los Angeles Sheriff's Dept.,LA Century Reg. Det. Facility,1995,10,218,0,419,0,637
Los Angeles Sheriff's Dept.,LA Men's Central Jail,1995,10,4783,0,1820,0,6603
Los Angeles Sheriff's Dept.,LA North County Corr. Facility,1995,10,2467,0,1061,0,3528
Los Angeles Sheriff's Dept.,LA Pitchess East Facility,1995,10,1560,0,240,0,1800
Los Angeles Sheriff's Dept.,LA Pitchess North Facility,1995,10,1327,0,247,0,1574
Los Angeles Sheriff's Dept.,LA Pitchess South (No. Annex),1995,10,618,0,968,0,1586
Los Angeles Sheriff's Dept.,Sybil Brand Institute,1995,10,0,1399,0,759,2158
Madera Corrections Dept.,Madera Adult Correctional Fac,1995,10,141.9,20.23,146.55,13.58,322.26
Marin Sheriff's Dept.,Marin County Jail,1995,10,164,27,78,13,224
Mariposa Sheriff's Dept.,Mariposa Co. Adult Det. Fac.,1995,10,22.5,2.8,18.3,2.9,46.5
Mendocino Sheriff's Dept.,Mendocino Adult Det. Facility,1995,10,120,10,83,13,226
Merced Sheriff's Dept.,John Latorraca Correctional Center,1995,10,176,27,122,25,350
Merced Sheriff's Dept.,Merced County Jail ,1995,10,146,0,13,0,159
Modoc Sheriff's Dept.,Modoc County Jail,1995,10,10,4,7,4,25
Mono Sheriff's Dept.,Mono County Jail ,1995,10,7.65,1.45,10.32,0.19,19.61
Monterey Sheriff's Dept.,Monterey County Jail ,1995,10,398,69,26,32,525
Monterey Sheriff's Dept.,Monterey County Rehabilitation ,1995,10,175,0,265,0,440
Napa Corrections Dept.,Napa County Jail ,1995,10,132,13,74,10,229
Nevada Sheriff's Dept.,Wayne Brown Correctional Facility ,1995,10,81,13,59,14,167
Orange Sheriff's Dept.,Intake Release Center ,1995,10,385,53,248,102,788
Orange Sheriff's Dept.,James A Musick Facilities,1995,10,147,15,905,107,1174
Orange Sheriff's Dept.,Orange County Mens Jail ,1995,10,687,0,568,0,1255
Orange Sheriff's Dept.,Orange County Women's Jail,1995,10,0,119,0,206,325
Orange Sheriff's Dept.,Theo Lacy,1995,10,603,0,902,0,1505
Placer Sheriff's Dept.,Placer County Main Jail ,1995,10,173,24,91,4,292
Placer Sheriff's Dept.,Placer County Minimum Security ,1995,10,6,5,112,21,144
Plumas Sheriff's Dept.,Plumas County Jail ,1995,10,17.8,2.5,16.1,2.7,39.1
Riverside Sheriff's Dept.,Blythe Jail ,1995,10,46,2,41,0,89
Riverside Sheriff's Dept.,Indio Jail ,1995,10,232,15,74,4,325
Riverside Sheriff's Dept.,Larry D. Smith Correctional Facility,1995,10,79,32,291,61,463
Riverside Sheriff's Dept.,Robert Presley Detention Ctr.,1995,10,851,113,183,35,1182
Riverside Sheriff's Dept.,Southwest Detention Center,1995,10,290,0,153,0,443
Sacramento Sheriff's Dept.,Rio Cosumnes Correctional Ctr.,1995,10,121,0,1134,0,1255
Sacramento Sheriff's Dept.,Rio Cosumnes- Womens Facility,1995,10,0,6,0,236,242
Sacramento Sheriff's Dept.,Sacramento County Main Jail ,1995,10,1395,258,114,0,1767
San Benito Sheriff's Dept.,San Benito Adult Detention ,1995,10,37,8,52,5,102
San Bernardino Sheriff's Dept.,San Bernardino Central Detention Center,1995,10,396,93,196,47,732
San Bernardino Sheriff's Dept.,San Bernardino County Glen Helen,1995,10,0,44,810,199,1053
San Bernardino Sheriff's Dept.,West Valley Detention Center ,1995,10,1551,131,919,77,2678
San Diego Probation Dept.,Barrett Honor Camp / Barrett Juvenile ,1995,10,d,d,268,d,268
San Diego Probation Dept.,Camp West Fork ,1995,10,d,d,227,d,227
San Diego Sheriff's Dept.,Descanso Detention Facility,1995,10,4,0,358,0,362
San Diego Sheriff's Dept.,East Mesa Reentry Facility,1995,10,26,0,485,0,511
San Diego Sheriff's Dept.,George Bailey Detention Facility,1995,10,1143,0,571,0,1714
San Diego Sheriff's Dept.,Las Colinas Womens Detention ,1995,10,0,257,0,259,516
San Diego Sheriff's Dept.,South Bay Regional Facility- Chula Vista,1995,10,311,0,47,0,358
San Diego Sheriff's Dept.,Vista Facility ,1995,10,561,97,168,87,913
San Francisco Sheriff's Dept.,San Francisco County Jail #2,1995,10,111,88,64,52,315
San Francisco Sheriff's Dept.,San Francisco County Jail #3,1995,10,259,45,12,2,318
San Francisco Sheriff's Dept.,San Francisco County Jail #3 ,1995,10,541,d,30,d,571
San Francisco Sheriff's Dept.,San Francisco County Jail #4,1995,10,269,35,34,8,346
San Francisco Sheriff's Dept.,San Francisco County Jail #6,1995,10,105,d,213,d,318
San Joaquin Sheriff's Dept.,San Joaquin County Honor Farm,1995,10,469,71,134,22,696
San Luis Obispo Sheriff's Dept.,San Luis Obispo County Jail ,1995,10,137,21,168,35,361
San Luis Obispo Sheriff's Dept.,San Luis Obispo Honor Farm ,1995,10,0,0,69,0,69
San Mateo Sheriff's Dept.,Maguire Correctional Facility,1995,10,375,0,408,0,783
San Mateo Sheriff's Dept.,Mens Corr. Ctr./Medium Sec. Fac. ,1995,10,0,0,163,0,163
San Mateo Sheriff's Dept.,Minimum Security Transitional Fac.,1995,10,0,0,0,29,29
San Mateo Sheriff's Dept.,Womens Correctional Center ,1995,10,0,48,0,72,120
Santa Barbara Sheriff's Dept.,Female Honor Farm,1995,10,0,0,0,34,34
Santa Barbara Sheriff's Dept.,Medium Security Facility,1995,10,48,0,160,0,208
Santa Barbara Sheriff's Dept.,Santa Barbara County Main Jail ,1995,10,344,51,261,33,689
Santa Barbara Sheriff's Dept.,Santa Barbara Work Furlough ,1995,10,0,0,16,0,16
Santa Barbara Sheriff's Dept.,Santa Maria Work Furlough ,1995,10,0,0,11,0,11
Santa Clara Corrections Dept.,Elmwood Complex - Men's facility,1995,10,1177,0,1227,0,2404
Santa Clara Corrections Dept.,Elmwood Complex - Women's Facility,1995,10,0,252,0,203,455
Santa Clara Corrections Dept.,Santa Clara County Main Jail ,1995,10,1327,0,240,0,1567
Santa Clara Probation Dept.,Mtn. View Work Furlough Facility ,1995,10,0,0,257,0,257
Santa Cruz Sheriff's Dept.,Santa Cruz Blaine Womens Min,1995,10,0,0,0,19,19
Santa Cruz Sheriff's Dept.,Santa Cruz Main Jail,1995,10,217,20,127,10,374
Santa Cruz Sheriff's Dept.,Santa Cruz Medium Security,1995,10,0,0,0,0,0
Santa Cruz Sheriff's Dept.,Santa Cruz Rountree Lane Minimum ,1995,10,0,0,121,0,121
Scapular House,Scapular House ,1995,10,0,0,93,12,105
Shasta Sheriff's Dept.,Shasta County Detention Annex,1995,10,0,0,54.38,9.09,63.47
Shasta Sheriff's Dept.,Shasta County Main Jail ,1995,10,199.25,25.06,86.09,16.32,326.72
Siskiyou Sheriff's Dept.,Siskiyou County Jail ,1995,10,45,2,36,11,94
Solano Sheriff's Dept.,Claybank Facility ,1995,10,69,1,154,37,261
Solano Sheriff's Dept.,Solano County Justice Center ,1995,10,325,52,111,26,514
Sonoma Sheriff's Dept.,Sonoma Main Adult Detention,1995,10,253,11,100,6,370
Sonoma Sheriff's Dept.,Sonoma-North County Facility,1995,10,161,46,282,35,524
Stanislaus Sheriff's Dept.,Stanislaus Co. Public Safety Center,1995,10,94,75,29,95,293
Stanislaus Sheriff's Dept.,Stanislaus County Honor Farm ,1995,10,53,0,258,0,311
Stanislaus Sheriff's Dept.,Stanislaus County Jail ,1995,10,307,0,69,0,376
Sutter Sheriff's Dept.,Sutter County Jail ,1995,10,74,20,116,31,241
Tehama Sheriff's Dept.,Tehama County Jail ,1995,10,32,4,82,15,133
Trinity Sheriff's Dept.,Trinity Co. Detention Facility,1995,10,12,3,14,1,30
Tulare Sheriff's Dept.,Bob Wiley Detention Facility,1995,10,241,67,261,98,667
