Census Tract,California County,ZIP,Approximate Location,Longitude,Latitude,Traffic
6037207102,Los Angeles,90012,Los Angeles,-118.2395097,34.0592851,1750.291405
6037228410,Los Angeles,90011,Los Angeles,-118.2691132,34.01374,700.7129571
6099002302,Stanislaus ,95351,Bystrom,-120.982756,37.6209695,802.9393748
6113010203,Yolo ,95691,West Sacramento,-121.563721,38.5637651,2006.453572
6019001303,Fresno ,93702,Fresno,-119.7591482,36.7250069,194.2056816
6037120107,Los Angeles,91402,Los Angeles,-118.4563804,34.226419,1006.633174
6037226700,Los Angeles,90011,Los Angeles,-118.2621294,34.0173502,764.5098357
6067000700,Sacramento ,95814,Sacramento,-121.5016595,38.5818714,1145.513234
6037120300,Los Angeles,91402,Los Angeles,-118.4408399,34.2152914,1443.169452
6037206300,Los Angeles,90013,Los Angeles,-118.2432134,34.0411108,686.0065785
6019006602,Fresno ,93654,Reedley,-119.4402301,36.5908573,297.8881037
6037123304,Los Angeles,91605,Los Angeles,-118.4060882,34.1965389,2529.147605
6037191500,Los Angeles,90029,Los Angeles,-118.296037,34.0872608,2100.439241
6037402702,Los Angeles,91767,Pomona,-117.7259547,34.0640498,619.3817663
6037575300,Los Angeles,90813,Long Beach,-118.1850264,33.7862258,939.6370893
6071001101,San Bernardino,91762,Ontario,-117.6629921,34.0660715,755.6744916
6037402600,Los Angeles,91767,Pomona,-117.7432184,34.0696836,1794.433982
6019001900,Fresno ,93706,Unincorporated Fresno County area,-119.8872955,36.7085379,270.9718325
6071004800,San Bernardino,92411,San Bernardino,-117.3082365,34.1120412,1866.632367
6029001600,Kern ,93301,Bakersfield,-119.0153944,35.3769557,624.7217058
6037186403,Los Angeles,90065,Los Angeles,-118.2394938,34.1118266,1901.069575
6037408501,Los Angeles,91745,Hacienda Heights,-117.9679168,34.0114015,4005.907407
6099001700,Stanislaus ,95351,Modesto,-121.0071046,37.6373175,848.3575155
6071005300,San Bernardino,92405,San Bernardino,-117.2912706,34.1396027,1046.466563
6037122000,Los Angeles,91605,Los Angeles,-118.4183782,34.2147689,2019.798812
6037534406,Los Angeles,90201,Cudahy,-118.1749749,33.9647497,1127.093603
6037209102,Los Angeles,90017,Los Angeles,-118.2675212,34.0551862,713.5800629
6037121802,Los Angeles,91605,Los Angeles,-118.3913647,34.2192112,1344.169027
6037240300,Los Angeles,90044,Los Angeles,-118.2861229,33.9564095,2753.210221
6037572500,Los Angeles,90810,Long Beach,-118.2182796,33.8165383,502.2970184
6037543201,Los Angeles,90220,Compton,-118.2347142,33.8849107,621.3854999
6037191810,Los Angeles,90038,Los Angeles,-118.3277122,34.088924,906.8688774
6037119001,Los Angeles,91331,Los Angeles,-118.4203143,34.2351095,3020.620667
6037124204,Los Angeles,91601,Los Angeles,-118.3746553,34.1739725,1005.527223
6107002901,Tulare ,93274,Tulare,-119.3370033,36.196369,706.1569411
6037541200,Los Angeles,90222,Compton,-118.2543733,33.9083355,813.4571412
6029002600,Kern ,93307,Bakersfield,-119.0117159,35.3457339,777.9044462
6037600502,Los Angeles,90303,Inglewood,-118.3307284,33.9280513,3945.434633
6107004101,Tulare ,93257,Porterville,-119.0217027,36.0577198,665.9665494
6037541500,Los Angeles,90222,Willowbrook,-118.2270116,33.9148293,556.4841112
6037402804,Los Angeles,91766,Pomona,-117.7322415,34.0483608,298.4973045
6037535901,Los Angeles,90280,South Gate,-118.194008,33.9462081,627.0113496
