"function HelpWindow(page) { window.open(page,"","HEIGHT=225,WIDTH=300") }""unction HelpWindow(page) { ",,,,,,,,
Jurisdiction,Facility,Year,Month,Unsentenced males,Unsentenced females,Sentenced males,Sentenced females,Total facility ADP
Alameda Sheriff's Dept.,Community Re-Entry Center,2004,1,0,0,0,0,0
Alameda Sheriff's Dept.,Glen Dyer Jail,2004,1,192,1,16,0,209
Alameda Sheriff's Dept.,Santa Rita Jail,2004,1,2445,301,820,148,3714
Amador Sheriff's Dept.,Amador County Jail,2004,1,25,4,49,11,89
Butte Sheriff's Dept.,Butte County Jail,2004,1,263,42,174,29,508
Calaveras Sheriff's Dept.,Calaveras County Jail,2004,1,39,6,25,5,75
Colusa Sheriff's Dept.,Colusa County Jail,2004,1,20,3,24,6,53
Contra Costa Sheriff's Dept.,Marsh Creek Detention Facility,2004,1,0,0,109,0,109
Contra Costa Sheriff's Dept.,Martinez Detention Facility,2004,1,430,10,202,5,647
Contra Costa Sheriff's Dept.,West County Detention Facility ,2004,1,465,117,170,42,794
Del Norte Sheriff's Dept.,Del Norte County Jail,2004,1,19,4,78,16,117
El Dorado Sheriff's Dept.,El Dorado County Jail,2004,1,107,7,92,11,217
El Dorado Sheriff's Dept.,South Lake Tahoe Jail,2004,1,44,7,57,10,118
Fresno Sheriff's Dept.,Fresno County Main Jail,2004,1,782,0,150,0,932
Fresno Sheriff's Dept.,Fresno County Satellite Jail,2004,1,0,0,210,0,210
Fresno Sheriff's Dept.,Fresno North Annex Jail,2004,1,1039,0,167,0,1206
Fresno Sheriff's Dept.,Fresno South Annex Jail,2004,1,192,254,35,96,577
Glenn Sheriff's Dept.,Glenn Co Adult Detention Fac,2004,1,70,11,42,9,132
Humboldt Sheriff's Dept.,Humboldt Co. Corr. Facility,2004,1,200,32,102,19,353
Imperial Sheriff's Dept.,Herbert Hughes Corr. Center,2004,1,78,0,109,0,187
Imperial Sheriff's Dept.,Imperial Adult Regional Fac.,2004,1,132,21,99,7,259
Inyo Sheriff's Dept.,Inyo County Jail,2004,1,26,4,38,11,79
Kern Sheriff's Dept.,Central Receiving Facility,2004,1,94,27,23,7,151
Kern Sheriff's Dept.,Lerdo Minimum,2004,1,421,6,415,89,931
Kern Sheriff's Dept.,Lerdo Pre-Trial Facility,2004,1,714,143,190,63,1110
Kings Sheriff's Dept.,Kings County Branch Jail ,2004,1,51,9,59,23,142
Kings Sheriff's Dept.,Kings County Main Jail,2004,1,67,4,69,6,146
Lake Sheriff's Dept.,Lake County Hill Road Facility ,2004,1,154,9,66,36,265
Lassen Sheriff's Dept.,Lassen Adult Detention Facility,2004,1,44,12,39,5,100
Los Angeles Sheriff's Dept.,LA Century Reg. Det. Facility,2004,1,104,0,173,0,277
Los Angeles Sheriff's Dept.,LA Men's Central Jail,2004,1,4684,0,1866,0,6550
Los Angeles Sheriff's Dept.,LA North County Corr. Facility,2004,1,1915,0,764,0,2679
Los Angeles Sheriff's Dept.,LA Pitchess East Facility,2004,1,759,0,269,0,1028
Los Angeles Sheriff's Dept.,LA Pitchess North Facility,2004,1,708,0,706,0,1414
Los Angeles Sheriff's Dept.,LA Twin Towers Corr. Facility,2004,1,1741,1450,537,473,4201
Madera Corrections Dept.,Madera Adult Correctional Fac,2004,1,188,24,100,16,328
Marin Sheriff's Dept.,Marin County Jail,2004,1,209,25,30,6,270
Mariposa Sheriff's Dept.,Mariposa Co. Adult Det. Fac.,2004,1,17,3,14,3,37
Mendocino Sheriff's Dept.,Mendocino Adult Det. Facility,2004,1,125,26,101,17,269
Merced Sheriff's Dept.,John Latorraca Correctional Center,2004,1,301,57,128,12,498
Merced Sheriff's Dept.,Merced County Jail ,2004,1,138,0,37,0,175
Modoc Sheriff's Dept.,Modoc County Jail,2004,1,21,3,3,0,27
Mono Sheriff's Dept.,Mono County Jail ,2004,1,11,2,12,4,29
Monterey Sheriff's Dept.,Monterey County Jail ,2004,1,432,84,146,60,722
Monterey Sheriff's Dept.,Monterey County Rehabilitation ,2004,1,129,0,264,0,393
Napa Corrections Dept.,Napa County Jail ,2004,1,47,7,154,24,232
Nevada Sheriff's Dept.,Wayne Brown Correctional Facility ,2004,1,60,11,70,11,152
Oakland Police Dept.,Oakland Jail,2004,1,102,18,0,0,120
Orange Sheriff's Dept.,Intake Release Center ,2004,1,285,128,153,132,698
Orange Sheriff's Dept.,James A Musick Facilities,2004,1,140,19,765,97,1021
Orange Sheriff's Dept.,Orange County Mens Jail ,2004,1,754,0,586,0,1340
Orange Sheriff's Dept.,Orange County Women's Jail,2004,1,0,159,0,187,346
Orange Sheriff's Dept.,Theo Lacy,2004,1,1096,0,816,0,1912
Placer Sheriff's Dept.,Placer County Main Jail ,2004,1,263,36,48,8,355
Placer Sheriff's Dept.,Placer County Minimum Security ,2004,1,7,3,115,25,150
Plumas Sheriff's Dept.,Plumas County Jail ,2004,1,25,3,24,3,55
Riverside Sheriff's Dept.,Blythe Jail ,2004,1,77,0,28,0,105
Riverside Sheriff's Dept.,Indio Jail ,2004,1,257,30,49,2,338
Riverside Sheriff's Dept.,Larry D. Smith Correctional Facility,2004,1,267,80,252,66,665
